PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
39489407,MQGA: A quantitative analysis of brain network hubs using multi-graph theoretical indices,"Wu H, Yang Z, Cao Q, Wang P, Biswal BB, Klugah-Brown B.",Neuroimage. 2024 Dec 1;303:120913. doi: 10.1016/j.neuroimage.2024.120913. Epub 2024 Nov 1.,Wu H,Neuroimage,2024,11/3/24,,,10.1016/j.neuroimage.2024.120913
38424025,A systematic review of the utility of continuous performance tests among adults with ADHD,"Varela JL, Magnante AT, Miskey HM, Ord AS, Eldridge A, Shura RD.",Clin Neuropsychol. 2024 Oct;38(7):1524-1585. doi: 10.1080/13854046.2024.2315740. Epub 2024 Feb 29.,Varela JL,Clin Neuropsychol,2024,2/29/24,,,10.1080/13854046.2024.2315740
38055014,Network structure of symptomatology of adult attention-deficit hyperactivity disorder in patients with mood disorders,"Lee J, Lee D, Ihm H, Kang HS, Yu H, Yoon J, Jang Y, Kim Y, Lee CW, Lee H, Baek JH, Ha TH, Park J, Myung W.",Eur Arch Psychiatry Clin Neurosci. 2024 Oct;274(7):1661-1670. doi: 10.1007/s00406-023-01719-2. Epub 2023 Dec 6.,Lee J,Eur Arch Psychiatry Clin Neurosci,2024,12/6/23,,,10.1007/s00406-023-01719-2
39103819,Machine learning-enabled detection of attention-deficit/hyperactivity disorder with multimodal physiological data: a case-control study,"Andrikopoulos D, Vassiliou G, Fatouros P, Tsirmpas C, Pehlivanidis A, Papageorgiou C.",BMC Psychiatry. 2024 Aug 5;24(1):547. doi: 10.1186/s12888-024-05987-7.,Andrikopoulos D,BMC Psychiatry,2024,8/5/24,PMC11302198,,10.1186/s12888-024-05987-7
38428577,Systematic Review and Meta-Analysis: Do White Noise or Pink Noise Help With Task Performance in Youth With Attention-Deficit/Hyperactivity Disorder or With Elevated Attention Problems?,"Nigg JT, Bruton A, Kozlowski MB, Johnstone JM, Karalunas SL.",J Am Acad Child Adolesc Psychiatry. 2024 Aug;63(8):778-788. doi: 10.1016/j.jaac.2023.12.014. Epub 2024 Feb 28.,Nigg JT,J Am Acad Child Adolesc Psychiatry,2024,3/1/24,PMC11283987,NIHMS1971682,10.1016/j.jaac.2023.12.014
39054265,Cognitive functioning in adult psychiatric patients with and without attention-deficit/hyperactivity disorder,"Eberhard D, Gillberg C, Billstedt E.",Brain Behav. 2024 Jul;14(7):e3626. doi: 10.1002/brb3.3626.,Eberhard D,Brain Behav,2024,7/25/24,PMC11272415,,10.1002/brb3.3626
38937684,Using polygenic scores in combination with symptom rating scales to identify attention-deficit/hyperactivity disorder,"Høberg A, Solberg BS, Hegvik TA, Haavik J.",BMC Psychiatry. 2024 Jun 27;24(1):471. doi: 10.1186/s12888-024-05925-7.,Høberg A,BMC Psychiatry,2024,6/27/24,PMC11210094,,10.1186/s12888-024-05925-7
37779387,Cognitive Profile in Autism and ADHD: A Meta-Analysis of Performance on the WAIS-IV and WISC-V,Wilson AC.,Arch Clin Neuropsychol. 2024 May 21;39(4):498-515. doi: 10.1093/arclin/acad073.,Wilson AC,Arch Clin Neuropsychol,2024,10/2/23,PMC11110614,,10.1093/arclin/acad073
38387863,Predicting verbal and performance intelligence quotients from multimodal data in individuals with attention deficit/hyperactivity disorder,"He N, Kou C.",Int J Dev Neurosci. 2024 May;84(3):217-226. doi: 10.1002/jdn.10320. Epub 2024 Feb 22.,He N,Int J Dev Neurosci,2024,2/22/24,,,10.1002/jdn.10320
38610919,"An International, Multidisciplinary Consensus Set of Patient-Centered Outcome Measures for Substance-Related and Addictive Disorders","Black N, Chung S, Tisdale C, Fialho LS, Aramrattana A, Assanangkornchai S, Blaszczynski A, Bowden-Jones H, van den Brink W, Brown A, Brown QL, Cottler LB, Elsasser M, Ferri M, Florence M, Gueorguieva R, Hampton R, Hudson S, Kelly PJ, Lintzeris N, Murphy L, Nadkarni A, Neale J, Rosen D, Rumpf HJ, Rush B, Segal G, Shorter GW, Torrens M, Wait C, Young K, Farrell M.",J Clin Med. 2024 Apr 8;13(7):2154. doi: 10.3390/jcm13072154.,Black N,J Clin Med,2024,4/13/24,PMC11012938,,10.3390/jcm13072154
38569190,Determining cutoff scores on the Conners' adult ADHD rating scales that can definitively rule out the presence of ADHD in a clinical sample,"Kwan D, Davin N, Harrison AG, Gillie S.",Appl Neuropsychol Adult. 2024 Apr 3:1-11. doi: 10.1080/23279095.2024.2336204. Online ahead of print.,Kwan D,Appl Neuropsychol Adult,2024,4/3/24,,,10.1080/23279095.2024.2336204
38282296,Identifying cognitive profiles in children with neurodevelopmental disorders using online cognitive testing,"Hennessy A, Nichols ES, Al-Saoud S, Brossard-Racine M, Duerden EG.",Clin Child Psychol Psychiatry. 2024 Apr;29(2):591-607. doi: 10.1177/13591045241228889. Epub 2024 Jan 28.,Hennessy A,Clin Child Psychol Psychiatry,2024,1/29/24,PMC10945998,,10.1177/13591045241228889
38038867,"Executive functioning, ADHD symptoms and resting state functional connectivity in children with perinatal stroke","Meghji S, Hilderley AJ, Murias K, Brooks BL, Andersen J, Fehlings D, Dlamini N, Kirton A, Carlson HL.",Brain Imaging Behav. 2024 Apr;18(2):263-278. doi: 10.1007/s11682-023-00827-w. Epub 2023 Dec 1.,Meghji S,Brain Imaging Behav,2024,12/1/23,PMC11156742,,10.1007/s11682-023-00827-w
37989710,Vascular Burden Moderates the Relationship Between ADHD and Cognition in Older Adults,"Callahan BL, Becker S, Ramirez J, Taylor R, Shammi P, Gao F, Black SE.",Am J Geriatr Psychiatry. 2024 Apr;32(4):427-442. doi: 10.1016/j.jagp.2023.10.018. Epub 2023 Oct 30.,Callahan BL,Am J Geriatr Psychiatry,2024,11/21/23,,,10.1016/j.jagp.2023.10.018
