Study,Sample_Size_ADHD,Age_Mean_SD_ADHD,Gender_ADHD,Sample_Size_Controls,Age_Mean_SD_Controls,Gender_Controls,Measure_Name,Diagnostic_Accuracy,Sensitivity,Specificity,NPV,PPV,Notes,
Vizgaitis et al. (2023),27,Not reported,"11 males, 16 females",95 (clinical controls seeking ADHD assessment but not diagnosed with ADHD),Not reported,"44 males, 51 females",CAARS-S:L (ADHD Index),Weak accuracy,0.556,0.621,0.831,0.294,False positives most frequently diagnosed with anxiety disorders (33.3%) or depressive disorders (33.3%). All CAARS-S:L scales demonstrated very low PPV.,
Vizgaitis et al. (2023),27,Not reported,"11 males, 16 females",95 (clinical controls),Not reported,"44 males, 51 females",CAARS-S:L (DSM-IV Inattentive Symptoms),Low,1,0.2,1,0.262,Highest sensitivity and NPV among all CAARS-S:L scales,
Vizgaitis et al. (2023),27,Not reported,"11 males, 16 females",95 (clinical controls),Not reported,"44 males, 51 females",CAARS-S:L (DSM-IV Hyperactive/Impulsive Symptoms),Low,0.63,0.653,0.861,0.34,Better specificity than inattentive symptoms scale,
Vizgaitis et al. (2023),27,Not reported,"11 males, 16 females",95 (clinical controls),Not reported,"44 males, 51 females",CAARS-S:L (DSM-IV ADHD Total Symptoms),Low,0.889,0.305,0.906,0.267,High sensitivity but low specificity,
Harrison et al. (2016),201,21.2 ± 4.8,"150 males, 99 females",404 (clinical controls with attention/learning problems),22.2 ¬± 6.3,"189 males, 318 females",CAARS-S (Self-Report),Weak,,,,,"High false positive and false negative rate, suggesting CAARS should not be the main method for diagnosing ADHD",
Kwan et al. (2024),,Not reported,Not reported,Not reported,Not reported,Not reported,CAARS-S:L,Good for ruling out ADHD,,,,,Study focused on determining cutoff scores to rule out ADHD; found CAARS scales have excellent negative predictive value but poor positive predictive value,
Van Voorhees et al. (2011),183,"32 (mean), 28 (median), 20 (mode)",38.5% females,86 (clinical controls with various diagnoses),Same as ADHD,Similar as ADHD,CAARS-S and CAARS-O (Observer),Not reported,,,,,Rating scales do not effectively distinguish between ADHD and other adult psychiatric disorders; sample included 349 adults ages 18-70,
van de Glind et al. (2013),,Not reported,Not reported,Not fully reported (substance use disorder patients),Not reported,Not reported,ASRS,Good,0.84,0.66,0.97,0.26,"The ASRS is sensitive in detecting ADHD, but not in detecting other externalizing disorders",
Bastiaens & Galus (2018),70,33.5 ¬± 8.3,"45 males, 25 females",70 (clinical controls with substance use and psychiatric disorders),36.9 ¬± 9.1,"48 males, 22 females",ASRS-IV (categorical scoring, 4+ threshold),Poor,0.36,0.93,0.59,0.83,Study conducted in correctional facility with dual diagnoses population
Bastiaens & Galus (2018),70,33.5 ¬± 8.3,"45 males, 25 females",70 (clinical controls with substance use and psychiatric disorders),36.9 ¬± 9.1,"48 males, 22 females",ASRS-5 (categorical scoring, 4+ threshold),Poor,0.36,0.94,0.59,0.86,Study conducted in correctional facility with dual diagnoses population
